"","taxa","ITS.Copies"
"421","Catenaria_anguillulae",5
"423","Celoporthe_dispersa",10
"424","Cenococcum_geophilum",1
"425","Cephaloascus_albidus",1
"426","Cephaloascus_fragrans",1
"427","Ceraceosorus_bombacis",5
"430","Ceratocystiopsis_brevicomis",1
"431","Ceratocystiopsis_minuta",2
"432","Ceratocystis_adiposa",1
"433","Ceratocystis_albifundus",1
"434","Ceratocystis_cacaofunesta",1
"435","Ceratocystis_eucalypticola",1
"436","Ceratocystis_fimbriata",3
"437","Ceratocystis_harringtonii",1
"438","Ceratocystis_manginecans",2
"439","Ceratocystis_platani",1
"440","Ceratocystis_smalleyi",1
"442","Cercospora_beticola",1
"444","Cercospora_canescens",1
"445","Cercospora_cf._flagellaris",1
"446","Cercospora_cf._sigesbeckiae",3
"447","Cercospora_citrullina",1
"448","Cercospora_kikuchii",4
"449","Cercospora_nicotianae",1
"452","Cercospora_zeae-maydis",1
"453","Cercospora_zeina",1
"456","Chaetomium_globosum",3
"457","Chaetomium_thermophilum",1
"458","Chalara_longipes",1
"459","Chalaropsis_populi",1
"462","Chlorencoelia_torta",1
"463","Chlorociboria_aeruginascens",2
"466","Chondrostereum_purpureum",1
"469","Chrysoporthe_cubensis",4
"470","Chrysoporthe_deuterocubensis",2
"475","Ciborinia_camelliae",1
"478","Citeromyces_siamensis",1
"479","Cladobotryum_protrusum",23
"480","Cladonia_borealis",2
"483","Cladonia_rangiferina",1
"484","Cladonia_uncialis",1
"485","Cladophialophora_bantiana",1
"486","Cladophialophora_carrionii",1
"487","Cladophialophora_immunda",1
"490","Cladosporium_cladosporioides",2
"491","Cladosporium_phlei",1
"492","Cladosporium_sphaerospermum",2
"493","Clarireedia_homoeocarpa",2
"494","Clarireedia_jacksonii",1
"495","Clarireedia_monteithiana",2
"496","Clathrospora_elynae",1
"498","Clavariopsis_aquatica",1
"499","Claviceps_africana",1
"500","Claviceps_arundinis",1
"501","Claviceps_capensis",1
"502","Claviceps_citrina",1
"503","Claviceps_cyperi",1
"504","Claviceps_digitariae",1
"506","Claviceps_humidiphila",1
"507","Claviceps_lovelessii",1
"508","Claviceps_maximensis",1
"509","Claviceps_monticola",1
"510","Claviceps_occidentalis",1
"511","Claviceps_paspali",1
"512","Claviceps_pazoutovae",1
"513","Claviceps_perihumidiphila",1
"514","Claviceps_purpurea",1
"515","Claviceps_pusilla",1
"516","Claviceps_quebecensis",1
"517","Claviceps_ripicola",1
"518","Claviceps_sorghi",1
"520","Clavispora_fructus",1
"521","Clavispora_lusitaniae",5
"524","Clitopilus_hobsonii",5
"526","Clonostachys_rosea",7
"527","Coccidioides_immitis",4
"528","Coccidioides_posadasii",17
"529","Coccinonectria_pachysandricola",1
"531","Coemansia_reversa",1
"535","Colletotrichum_acutatum",5
"536","Colletotrichum_aenigma",24
"538","Colletotrichum_australisinense_(nom._inval.)",20
"539","Colletotrichum_camelliae",5
"541","Colletotrichum_coccodes",1
"542","Colletotrichum_destructivum",5
"543","Colletotrichum_echinochloae",24
"544","Colletotrichum_eleusines",8
"545","Colletotrichum_falcatum",3
"546","Colletotrichum_fioriniae",1
"547","Colletotrichum_fructicola",2
"548","Colletotrichum_gloeosporioides",1
"550","Colletotrichum_graminicola",5
"551","Colletotrichum_higginsianum",9
"552","Colletotrichum_incanum",1
"555","Colletotrichum_lindemuthianum",3
"556","Colletotrichum_liriopes",1
"560","Colletotrichum_orbiculare",2
"561","Colletotrichum_orchidophilum",1
"564","Colletotrichum_sansevieriae",1
"565","Colletotrichum_scovillei",2
"566","Colletotrichum_shisoi",2
"567","Colletotrichum_siamense",2
"568","Colletotrichum_sidae",1
"571","Colletotrichum_spinosum",1
"572","Colletotrichum_sublineola",2
"573","Colletotrichum_tanaceti",7
"575","Colletotrichum_tofieldiae",2
"576","Colletotrichum_trifolii",3
"577","Colletotrichum_tropicale",1
"579","Colletotrichum_viniferum",1
"581","Conidiobolus_coronatus",2
"586","Coniochaeta_hoffmannii",1
"588","Coniochaeta_prunicola",2
"589","Coniochaeta_pulveracea",1
"593","Coprinellus_angulatus",77
"594","Coprinellus_micaceus",3
"597","Coprinopsis_strossmayeri",1
"598","Coprinus_comatus",1
"599","Cordyceps_cicadae",1
"600","Cordyceps_farinosa",1
"603","Cordyceps_militaris",4
"604","Cordyceps_pruinosa",1
"605","Cordyceps_tenuipes",1
"606","Corinectria_fuckeliana",1
"607","Coriolopsis_trogii",5
"608","Cortinarius_glaucopus",1
"609","Corynespora_cassiicola",38
"610","Corynespora_olivacea",1
"617","Cryomyces_antarcticus",1
"619","Cryphonectria_carpinicola",1
"620","Cryphonectria_japonica",1
"621","Cryphonectria_macrospora",1
"622","Cryphonectria_naterciae",1
"623","Cryphonectria_nitschkei",1
"624","Cryphonectria_parasitica",2
"625","Cryphonectria_radicalis",1
"628","Cryptococcus_floricola",20
"629","Cryptococcus_gattii",50
"630","Cryptococcus_neoformans",2
"631","Cryptococcus_neoformans_AD_hybrid",4
"632","Cryptococcus_wingfieldii",7
"633","Cucumispora_dikerogammari",1
"634","Cucurbitaria_berberidis",3
"635","Cudoniella_acicularis",1
"639","Curvularia_geniculata",1
"641","Curvularia_lunata",1
"642","Curvularia_papendorfii",3
"643","Cutaneotrichosporon_arboriforme",1
"646","Cutaneotrichosporon_cyanovorans",1
"647","Cutaneotrichosporon_daszewskae",1
"648","Cutaneotrichosporon_dermatis",3
"650","Cutaneotrichosporon_oleaginosum",2
"651","Cyanodermella_asteris",1
"653","Cyberlindnera_americana",1
"654","Cyberlindnera_fabianii",5
"655","Cyberlindnera_jadinii",9
"657","Cyberlindnera_misumaiensis",1
"658","Cyberlindnera_mrakii",1
"660","Cyberlindnera_saturnus",1
"661","Cyberlindnera_suaveolens",1
"662","Cyberlindnera_subsufficiens",1
"663","Cyberlindnera_xylosilytica",1
"665","Cylindrocarpon_cylindroides",1
"672","Cystofilobasidium_macerans",1
"674","Cytospora_piceae",2
"675","Dacryopinax_primogenitus",1
"676","Dactylella_cylindrospora",1
"677","Dactylellina_haptotyla",1
"678","Dactylonectria_macrodidyma",1
"679","Dactylonectria_torresensis",1
"681","Daldinia_caldariorum",1
"682","Daldinia_childiae",9
"683","Daldinia_concentrica",3
"684","Daldinia_eschscholtzii",3
"685","Danielozyma_ontarioensis",1
"686","Davidsoniella_australis",1
"687","Davidsoniella_eucalypti",17
"688","Davidsoniella_neocaledoniae",3
"689","Davidsoniella_virescens",1
"691","Debaryomyces_fabryi",1
"692","Debaryomyces_hansenii",8
"693","Debaryomyces_maramus",1
"694","Debaryomyces_nepalensis",1
"695","Debaryomyces_prosopidis",1
"696","Debaryomyces_subglobosus",1
"699","Delphinella_strobiligena",1
"700","Dendrothele_bispora",1
"701","Dentipellis_fragilis",1
"702","Diaporthe_ampelina",1
"704","Diaporthe_capsici",2
"705","Diaporthe_citri",6
"706","Diaporthe_citriasiana",1
"707","Diaporthe_citrichinensis",1
"708","Diaporthe_destruens",2
"710","Diaporthe_longicolla",1
"711","Dichomitus_squalens",2
"714","Dictyopanus_pusillus",6
"715","Dicyma_pulvinata",4
"716","Diddensiella_caesifluorescens",1
"717","Didymella_arachidicola",6
"719","Didymella_heteroderae",1
"720","Didymella_keratinophila",1
"721","Didymella_lethalis",1
"722","Didymella_pinodes",1
"723","Didymella_segeticola",14
"725","Didymosphaeria_enalia",1
"729","Diplocarpon_rosae",1
"730","Diplodia_corticola",1
"731","Diplodia_sapinea",1
"732","Diplodia_scrobiculata",1
"734","Dipodascus_albidus",1
"738","Dissophora_globulifera",1
"739","Dissophora_ornata",1
"740","Diutina_catenulata",1
"742","Diversispora_epigaea",8
"743","Dothidotthia_symphoricarpi",4
"744","Dothistroma_septosporum",1
"745","Drechmeria_coniospora",2
"747","Drechslerella_stenobrocha",1
"749","Elaphomyces_granulatus",1
"750","Elsinoe_ampelina",2
"751","Elsinoe_arachidis",3
"752","Elsinoe_australis",1
"753","Elsinoe_batatas",1
"754","Elsinoe_fawcettii",1
"755","Emergomyces_africanus",1
"756","Emergomyces_orientalis",8
"758","Emmonsia_crescens",1
"759","Encephalitozoon_cuniculi",3
"760","Encephalitozoon_hellem",7
"761","Encephalitozoon_intestinalis",5
"763","Endocalyx_cinctus",1
"764","Endocarpon_pusillum",1
"765","Endoconidiophora_laricicola",1
"767","Endocronartium_harknessii",1
"769","Enterocytozoon_bieneusi",14
"771","Enterospora_canceri",1
"774","Entomortierella_beljakovae",1
"775","Entomortierella_chlamydospora",1
"777","Entonaema_liquescens",4
"778","Epichloe_amarillans",2
"779","Epichloe_aotearoae",1
"780","Epichloe_baconii",1
"781","Epichloe_brachyelytri",1
"782","Epichloe_bromicola",2
"783","Epichloe_coenophiala",52
"784","Epichloe_elymi",2
"785","Epichloe_festucae",3
